opinion,user_description,review
Opinión sobre BBVA,Me estan volviendo locos pidiendo los mismos papeles una y otra vez.,1.0
Opinión sobre BBVA,"Es el banco mas malo para prestamos , no lo recomiendo",1.0
Opinión sobre Préstamo Coche Ecológico,de todos los prestamos para coche hibrido que he visto este es el que mas me convence. todavia tengo que seguir mirando y ver cual me sale mejor de precio pero x ahora x como me han atendido me quedo con bbva,5.0
Opinión sobre Préstamo coche BBVA,1 autentica gozada pedir el prestamo todo por la web y encima rapido al dia siguiente ya tenia todo listo para firmar!,5.0
Opinión sobre Tarjeta Después,"se la recomiendo mucho a todo el mundo, lo de seis meses de pago en cuotas sin intereses es perfecto para compras como navidad o algo d las vacaciones o la vuelta al cole yo lo uso coninuamente porque para lo que cobran mejor aplazarlo",5.0
Opinión sobre BBVA,"Tuve que pedir una información para poder hacer una transferencia a México ya que yo no soy clienta BBVA. Llamé por teléfono y fue la peor atención al cliente que he recibido nunca. Vamos, que no saben ni siquiera cómo funcionan sus cuentas BBVA en México y por supuesto no van ni intentar ayudarme porque no soy clienta. Y desde luego no lo pienso ser nunca. Servicio descortés y no sirvió para nada.",1.0
Opinión sobre Préstamo Rápido Online,5 estrellas xk no puedo poner 10 muy muy muy bien,5.0
Opinión sobre Préstamo Rápido Online,yo lo he pedido sin llevar la nomina y la verdad una gozada como te etienden aun sin ser cliente,4.0
Opinión sobre Cuenta Online Sin Comisiones,Apertura sencilla y todo muy intuitivo,5.0
Opinión sobre BBVA,"Desde la pandemia del Covid, la atención al cliente se ha resentido, hasta llegar al nivel de ""muy deficiente"".",1.0
Opinión sobre Cuenta Online Sin Comisiones,"Abrí la cuenta para mí y mi pareja y me gusta mucho su aplicación y la experiencia de la apertura. Sin ningún problema y todo se corresponde a lo que se explicaba en sus condiciones. Al ser nuevos clientes en BBVA, no nos cobran absolutamente nada.",5.0
Opinión sobre Tarjeta Joven Ahora BBVA,voy a cumplir los 30.....y ahora que?,4.0
Opinión sobre BBVA,"De momento, ninguna queja, servicio al cliente rapido. El trato excelente tanto al tlf, como en oficina.",4.0
